address,amount
0x0000000484f2217f1A64Eb6d24b5CEe446FaEAe5,1293809614848.0
0x00000006666A08C72b72E204Ca6Fe2287198011c,0.0
0x0000007C68390193776E8b44df3b698D311070B9,0.0
0x00000081C57CBC967248BeA482c417207e84cFFB,0.0
0x000000bd31c24A2bd2835028c8F1E4D9d3f37108,0.0
0x00000EFf292D8Cb466e12a33Fb83FA5757a67B58,0.0
0x000072ba5D51098b904A927ddE54C22aD480B5B5,0.0
0x000082301dAAd1D389F54d71e660097ecC79eb89,0.0
0x000159831A681a63B01911b9C162fbb8949976bA,0.0
0x00016035a0799E579876D1102628927b20248392,2000000000000000.0
0x0002208085F5e1946500aD6616aA0Ee2f19e826d,0.0
0x000334dCDdA7E848B206CCA09BaF033823C72846,0.0
0x000433708645EaaD9f65687CDbe4033d92f6A6d2,0.0
0x00049E98aDD9cF21b115f25Ba05F05871f9d4d3f,0.0
0x0005FF01256eE67285582D18e3b9A6B20C91CEf7,0.0
0x0005bF30d6DB418118BB989ec9a61a05B4f2b0FD,0.0
0x0006aBE43A735D8562071A3c3C5465083c27E047,0.0
0x0006c273afFD05fe4DCCA66c43fAC0a6e33DFC09,3.705870887101407e+17
0x00077218b3eA0388086e79EfAd4e4d7021F507f5,9.399074041839268e+17
0x0008d343091EF8BD3EFA730F6aAE5A26a285C7a2,0.0
0x000D409d7aE206570dd0C05e061272cD5d2627a8,0.0
0x000b60eeE66FDa272d67438e2CA2661D03BC86Bc,0.0
0x000cEd518Af03f70181D969971c257974c5AbA71,0.0
0x000e40277A0Fc3a8dEBb0e248c4DbC2c03AC97AE,0.0
0x00116c7383bc09abEe24aC9e157B5838De1C28Ed,0.0
0x001194Be6575415B5c1F7B49F8efad02b5000aF2,0.0
0x00119623D55065dEFe5fd82b87783F78364e6732,2.4e+17
0x0011fe24C1bb276197B458Ab15a49Fa3F8E26824,0.0
0x0013fe58e2F3034DCef1DDe2f08bA999ef47e47c,0.0
0x00143DB42deE6f95304184035FFFCDD743222F64,0.0
0x00181792FF5f4c8aB64D52534c3Cf7C837a402ea,0.0
0x001B0fA05d0020F904b4b4CE4E4797a0275a389d,0.0
0x001Bd414F417Adf77D0c365C69357Ba7Fc036bEa,0.0
0x001Bee89c27ea8A128b59277D0a296B259c04c39,0.0
0x001Dcfd1E3b06F4F108837EE34e9531889a98559,0.0
0x001aBa7087F49a135FFB121A40684416824E9C34,0.0
0x001aF7F80492Bc63404D0F680F6Be5AEc3fbA4BB,1.5183651e+17
0x001e36D290d12f65B2c8Fa053E79f82a8bc3e9B4,0.0
0x001e6f668990F878c8f786901a2f9B8932239af3,0.0
0x002080BDF8E8dB063899663620B16c451BeC6cbC,0.0
0x002126155a241c256fba0dC7E87f4DF4246ff31d,1.540653e+19
0x0021C03989b6b31caD84271Cf7a9F34046DcF006,0.0
0x0021dD827D77471d3C9679540DA36854fB3ed972,0.0
