address,amount,event,timestamp,year,month
0xfd68F8B7DBC785bC0d0d6A6B2fC0C6f775D18d80,1.033038833356836e+19,Staked,2021-06-30 19:05:45,2021,6
0x9cE03Db83729d684264278D3D0E4Bd0Bf7dFA355,4.081e+19,Staked,2021-06-30 19:05:50,2021,6
0xD9677209F97A31899bd00430a6dA7A97FDA38047,3.302e+19,Staked,2021-06-30 19:07:28,2021,6
0xB5899f898D1D9a928fA8275b24d0ff9115254643,5e+19,Staked,2021-06-30 19:08:46,2021,6
0xA93F5ADB9b8f28A2503907674B866BaD61AbF526,5e+20,Staked,2021-06-30 19:09:42,2021,6
0x8B42d2b3Fbf1b28935612D644357C2C56d58de30,1.0294e+20,Staked,2021-06-30 19:09:45,2021,6
0x564BcA365D62BCC22dB53d032F8dbD35439C9206,1e+20,Staked,2021-06-30 19:09:45,2021,6
0x997E404803f0C1B434Eba87a03A6267566485eA3,9.276841386972294e+19,Staked,2021-06-30 19:09:59,2021,6
0x996131EEd1fc6f83F8245602c8D171227311ceAf,6.800242575618233e+20,Staked,2021-06-30 19:10:20,2021,6
0x42175856652185ddDBD5477fBb1f7f4FC446847D,5.466380550803873e+19,Staked,2021-06-30 19:13:44,2021,6
0x4f7f1F4DBC4349b677c6A73470a088dc6d7C12EC,6.3e+18,Staked,2021-06-30 19:16:25,2021,6
0x7bc46b5F2B16e2d37eb216B4d4365634c9C7282f,1.216e+19,Staked,2021-06-30 19:16:36,2021,6
0x109FF7C478Bf199E00B4d1C1CBf1EE292Ebe87Da,7.065201616745977e+21,Staked,2021-06-30 19:16:51,2021,6
0x402fC619F6713F4C5DEE7b1992b8D4EA1b22bce1,3.809932156773817e+19,Staked,2021-06-30 19:17:17,2021,6
0x20FE14f578E398B2226c65e6BA47fE81cFDC8505,5.61489310388114e+19,Staked,2021-06-30 19:17:17,2021,6
0x30eEff183dce51bd0738E931f6d7b73E23238868,1.5978450341913756e+20,Staked,2021-06-30 19:17:42,2021,6
0x3Da6635b6037F9a9D4aC131932914020562A4c0f,5e+19,Staked,2021-06-30 19:19:54,2021,6
